SeedPlayer,SeedRoom,UseCountFire,UseCountBeam,UseCountWave,HitCountFire,HitCountBeam,HitCountWave,HitsTaken,EnemyCountFire,EnemyCountBeam,EnemyCountWave,ObstacleCountFire,ObstacleCountBeam,ObstacleCountWave,EnemyAttackCount,GroundTruth,Classification
0,0,30,0,0,7,0,0,0,1,0,0,1,0,2,1,1,1
0,0,50,0,0,12,0,0,0,0,0,1,0,2,1,1,1,1
0,0,75,0,0,18,0,0,1,0,1,1,2,0,2,3,1,1
0,0,105,0,0,27,0,0,0,0,2,0,0,1,3,3,1,1
0,0,156,0,0,38,0,0,0,1,1,0,1,3,0,2,1,1
0,0,184,0,0,48,0,0,0,0,2,0,0,2,2,3,1,1
0,0,220,0,0,60,0,0,0,1,1,0,0,2,2,3,1,1
0,0,260,0,0,73,0,0,0,0,1,2,1,3,1,6,1,1
0,0,337,0,0,95,0,0,1,2,1,0,3,1,1,7,0,1
0,0,370,0,0,108,0,0,0,0,2,1,0,4,1,4,1,1
0,0,415,0,0,120,0,0,1,0,1,2,4,1,1,6,0,1
0,0,443,0,0,133,0,0,0,1,2,0,3,3,0,3,1,1
0,0,477,0,0,150,0,0,0,2,1,0,4,1,1,3,1,1
0,0,535,0,0,167,0,0,0,2,0,1,0,3,3,6,1,1
0,0,568,0,0,175,0,0,0,0,3,0,1,2,3,3,1,1
0,0,594,0,0,188,0,0,0,0,3,0,5,1,0,3,1,1
0,0,649,0,0,199,0,0,1,0,1,2,3,2,1,7,0,1
0,0,676,0,0,212,0,0,1,0,2,1,0,3,3,4,0,1
0,0,726,0,0,226,0,0,1,0,2,2,3,3,2,9,0,1
0,0,798,0,0,242,0,0,2,1,1,2,1,4,3,10,0,1
0,0,839,0,0,259,0,0,1,0,4,0,2,3,3,5,1,1
0,0,863,0,57,265,0,43,0,0,4,0,4,3,1,12,1,1
0,0,896,0,84,274,0,64,1,1,2,1,1,5,2,9,1,1
0,0,906,0,130,277,0,94,0,2,0,2,4,3,1,7,1,1
0,0,925,0,144,288,0,104,0,0,4,0,1,1,6,6,1,1
0,0,937,0,181,292,0,125,0,1,2,1,2,5,1,6,1,1
0,0,937,0,199,292,0,140,0,0,1,3,0,0,8,4,1,1
0,0,947,0,228,295,0,160,0,0,2,2,3,2,3,6,1,1
0,0,947,0,276,295,0,196,0,0,2,2,3,5,0,8,1,1
0,0,965,0,314,302,0,214,0,2,0,2,2,2,4,6,1,1
0,0,1001,0,334,316,0,225,0,0,5,0,6,1,3,8,1,1
0,0,1042,0,359,336,0,241,1,1,3,1,2,3,5,10,1,1
0,0,1058,0,390,343,0,263,0,2,1,2,8,1,1,6,1,1
0,0,1094,0,414,356,0,282,1,2,3,0,0,10,0,9,1,1
0,0,1094,0,464,356,0,323,1,0,0,5,3,0,7,5,1,1
0,0,1103,0,503,358,0,351,0,3,1,1,2,4,4,6,1,1
0,0,1103,0,569,358,0,387,1,2,0,3,4,2,4,9,1,1
0,0,1133,0,582,376,0,394,0,0,5,0,8,1,1,8,1,1
0,0,1154,0,620,387,0,416,1,1,2,2,0,8,2,6,0,1
0,0,1154,0,674,387,0,446,0,2,0,3,1,2,7,8,0,1
0,0,1156,0,753,387,0,476,0,2,0,3,2,7,1,10,1,1
0,0,1175,0,815,392,0,511,0,2,2,1,0,8,2,9,0,1
0,0,1221,0,828,407,0,520,0,1,4,0,4,6,0,10,1,1
0,0,1221,0,879,407,0,550,0,4,0,1,0,8,2,7,1,1
0,0,1256,0,939,425,0,582,1,3,2,0,1,4,5,12,1,1
0,0,1291,0,951,441,0,590,0,0,5,0,1,3,6,6,1,1
0,0,12,3,0,3,0,0,0,0,1,0,0,3,0,1,1,1
0,0,22,3,9,9,0,3,0,1,0,0,1,0,2,1,1,1
0,0,22,28,10,9,8,3,1,2,0,0,3,0,1,2,1,1
0,0,34,29,10,14,8,3,1,0,2,0,3,1,0,2,1,1
0,0,44,29,14,23,8,4,1,0,2,0,1,2,1,2,1,1
0,0,44,49,14,23,16,4,0,2,0,0,3,0,1,1,1,1
0,0,53,49,45,25,16,26,1,2,0,0,0,3,1,3,1,1
0,0,69,85,45,29,29,26,3,1,1,1,0,5,0,6,1,1
0,0,69,96,65,29,37,43,1,2,1,0,0,3,2,2,1,1
0,0,84,107,65,37,41,43,0,1,2,0,3,0,2,5,1,1
0,0,84,110,92,37,41,68,0,0,3,0,2,1,2,5,1,1
0,0,88,110,113,41,41,81,0,2,1,0,1,3,2,3,1,1
0,0,88,110,148,41,41,113,0,0,2,1,2,3,1,7,1,1
0,0,88,110,184,41,41,145,0,0,2,1,1,3,2,5,1,1
0,0,92,110,203,43,41,162,0,2,1,0,0,4,2,5,1,1
0,0,92,119,212,43,49,170,0,2,0,1,5,1,0,2,1,1
0,0,92,127,244,43,49,198,0,0,2,1,0,5,1,5,1,1
0,0,92,127,274,43,49,216,0,3,0,0,2,1,3,4,1,1
0,0,96,127,296,46,49,232,1,0,1,2,0,3,3,5,1,1
0,0,96,133,332,46,52,258,1,1,1,2,1,3,4,8,1,1
0,0,113,133,352,52,52,274,1,2,2,0,2,5,1,7,1,1
0,0,117,133,385,56,52,296,0,3,0,1,1,2,5,6,1,1
0,0,117,144,411,56,52,320,0,0,1,3,3,5,0,5,1,1
0,0,117,144,430,56,52,337,0,0,0,4,6,2,0,4,1,1
0,0,117,145,470,56,52,373,1,0,4,0,1,4,3,7,1,1
0,0,117,151,485,56,60,387,0,2,0,2,0,8,0,5,1,1
0,0,117,156,514,56,65,415,0,1,2,1,1,5,2,5,1,1
0,0,117,169,522,56,76,423,0,3,0,1,6,1,1,3,1,1
0,0,117,184,530,56,86,430,1,3,0,1,3,2,3,3,1,1
0,0,117,204,571,56,94,463,0,2,3,0,2,3,5,9,1,1
0,0,117,217,608,56,99,498,0,2,3,0,8,1,1,10,1,1
0,0,117,218,646,56,99,526,1,0,2,3,7,3,0,9,1,1
0,0,117,234,681,56,102,557,2,1,2,2,0,0,10,12,1,1
0,0,117,249,722,56,110,596,1,2,3,0,4,2,4,7,1,1
0,0,117,249,756,56,110,624,2,0,1,4,2,4,4,9,1,1
0,0,117,282,776,56,131,641,1,2,1,2,9,0,1,9,1,1
0,0,117,291,807,56,139,668,0,2,3,0,5,1,4,7,1,1
0,0,117,291,846,56,139,705,0,0,2,3,1,8,1,8,1,1
0,0,117,301,915,56,147,766,1,0,5,0,2,5,3,11,1,1
0,0,117,301,950,56,147,800,0,0,2,3,6,1,3,7,1,1
0,0,117,307,996,56,151,844,0,1,3,1,6,4,0,11,1,1
0,0,117,307,1038,56,151,880,1,0,1,4,2,4,4,9,1,1
0,0,117,330,1047,56,171,880,0,5,0,0,1,8,1,1,1,1
0,0,117,349,1086,56,178,914,1,2,2,1,0,6,4,8,1,1
0,0,117,383,1107,56,195,929,1,2,1,2,0,2,8,10,1,1
0,0,117,383,1140,56,195,962,0,0,2,3,0,7,3,7,1,1
0,0,117,383,1215,56,195,1022,0,0,5,0,3,1,6,13,1,1
0,0,117,400,1243,56,202,1046,1,2,1,2,7,1,2,7,1,1
0,0,117,400,1282,56,202,1082,0,0,2,3,3,4,3,6,1,1
0,0,117,400,1314,56,202,1109,1,0,1,4,1,6,3,6,1,1
0,0,13,0,0,4,0,0,0,0,1,0,0,3,0,1,1,1
0,0,13,33,0,4,10,0,0,0,0,1,0,0,3,1,1,1
0,0,36,33,0,12,10,0,0,0,2,0,2,1,1,2,1,1
0,0,37,33,38,12,10,26,0,2,0,0,0,4,0,2,0,1
0,0,37,33,50,12,10,36,1,0,0,2,0,4,0,2,1,1
0,0,48,33,75,19,10,45,0,1,1,0,0,3,1,2,1,1
0,0,58,33,85,24,10,52,0,0,1,1,1,2,1,2,1,1
0,0,61,33,137,26,10,84,0,3,0,0,1,2,2,4,1,1
0,0,93,33,152,34,10,98,0,1,2,0,5,0,0,5,1,1
0,0,93,33,179,34,10,119,1,1,0,2,5,0,0,3,1,1
0,0,120,33,179,46,10,119,1,0,3,0,0,5,1,4,1,1
0,0,133,33,194,56,10,129,0,1,1,1,0,0,6,3,1,1
0,0,145,33,218,61,10,150,0,2,1,0,0,5,1,3,1,1
0,0,167,33,227,74,10,156,1,0,2,1,2,0,4,5,1,1
0,0,169,33,252,74,10,176,0,2,0,1,0,3,3,2,1,1
0,0,207,33,252,90,10,176,0,0,3,0,6,0,0,4,1,1
0,0,229,33,261,98,10,182,0,0,2,1,0,3,3,4,1,1
0,0,249,33,267,108,10,186,1,0,2,1,4,1,1,4,1,1
0,0,263,33,300,112,10,211,1,1,1,2,0,6,2,5,1,1
0,0,298,33,308,119,10,216,0,0,4,0,0,4,4,5,1,1
0,0,322,33,340,127,10,237,0,2,2,0,3,2,3,5,0,1
0,0,344,33,345,146,10,240,0,0,3,1,1,1,6,4,1,1
0,0,346,33,370,146,10,260,0,1,0,3,4,0,4,4,1,1
0,0,348,33,415,146,10,281,0,4,0,0,0,3,5,5,0,1
0,0,348,33,434,146,10,298,0,0,0,4,1,2,5,4,1,1
0,0,383,33,434,159,10,298,0,0,4,0,1,4,3,5,1,1
0,0,405,33,466,163,10,327,0,2,1,1,0,2,6,6,0,1
0,0,420,33,502,165,10,353,0,1,1,2,6,0,2,5,0,1
0,0,450,33,515,182,10,364,1,0,3,2,3,5,2,9,1,1
0,0,468,33,544,193,10,384,1,0,2,3,0,3,7,12,1,1
0,0,501,33,571,205,10,405,0,1,3,1,3,7,0,11,1,1
0,0,501,33,627,205,10,437,0,2,0,3,9,1,0,7,0,1
0,0,517,33,697,210,10,479,0,4,0,1,5,1,4,13,0,1
0,0,537,33,720,219,10,501,1,1,2,2,2,5,3,7,0,1
0,0,538,33,762,219,10,535,0,3,1,1,3,6,1,7,0,1
0,0,555,33,795,227,10,557,0,2,3,0,4,6,0,6,0,1
0,0,601,33,825,245,10,581,1,1,3,1,5,5,0,12,1,1
0,0,616,33,843,254,10,599,0,0,3,2,0,7,3,7,1,1
0,0,644,33,898,268,10,637,1,3,2,0,5,5,0,14,0,1
0,0,662,33,929,275,10,666,1,1,2,2,0,1,9,9,0,1
0,0,11,58,0,0,4,0,0,1,0,0,1,0,2,1,1,1
0,0,11,58,19,0,4,7,1,0,0,1,0,2,1,1,1,1
0,0,13,58,44,0,4,24,0,2,0,0,1,2,1,2,1,1
0,0,22,104,44,3,8,24,0,1,1,0,2,2,0,3,1,1
0,0,48,140,44,11,10,24,0,1,1,0,2,2,0,3,1,1
0,0,54,173,44,15,20,24,2,0,1,1,0,1,3,3,0,1
0,0,63,173,55,20,20,34,0,0,1,1,0,1,3,3,1,1
0,0,63,173,76,20,20,50,0,3,0,0,1,4,0,3,1,1
0,0,67,173,99,20,20,70,0,1,1,1,0,3,2,4,1,1
0,0,78,173,142,25,20,94,1,2,0,1,2,2,1,5,1,1
0,0,88,173,151,29,20,101,0,0,1,2,3,3,0,3,1,1
0,0,92,173,192,29,20,127,0,3,0,0,2,3,1,5,0,1
0,0,107,173,192,38,20,127,0,0,3,0,0,3,3,2,1,1
0,0,116,173,202,43,20,136,1,0,1,2,3,3,0,2,1,1
0,0,120,173,218,46,20,146,1,0,0,3,1,5,0,3,1,1
0,0,129,173,238,50,20,162,1,0,2,1,0,2,4,5,0,1
0,0,160,173,253,64,20,175,1,1,2,0,0,5,1,6,0,1
0,0,162,173,287,65,20,201,2,1,0,2,1,3,2,3,0,1
0,0,175,173,323,71,20,221,0,1,1,1,0,4,2,5,0,1
0,0,175,173,346,71,20,238,0,0,0,3,0,3,3,2,1,1
0,0,192,173,346,80,20,238,0,0,3,0,3,1,2,3,1,1
0,0,211,173,373,83,20,262,1,0,2,2,0,6,2,6,0,1
0,0,216,173,416,83,20,290,1,1,0,3,1,7,0,6,1,1
0,0,235,173,426,96,20,297,0,2,2,0,2,2,4,6,1,1
0,0,254,173,444,106,20,313,0,0,3,1,6,0,2,5,1,1
0,0,291,173,458,124,20,320,1,1,3,0,1,1,6,8,0,1
0,0,293,173,529,125,20,365,0,4,0,0,1,5,2,6,0,1
0,0,306,173,547,133,20,380,0,1,3,0,2,2,4,4,1,1
0,0,317,173,581,140,20,404,0,2,2,0,0,5,3,5,1,1
0,0,343,173,599,155,20,418,1,1,2,1,0,6,2,8,1,1
0,0,358,173,633,167,20,438,1,2,1,1,3,2,3,6,0,1
0,0,366,173,677,170,20,471,2,1,1,3,7,0,3,8,0,1
0,0,366,173,708,170,20,493,0,0,3,2,4,4,2,7,1,1
0,0,372,173,733,173,20,515,0,1,2,2,5,4,1,7,1,1
0,0,376,173,774,176,20,544,1,1,1,3,6,2,2,8,0,1
0,0,400,173,788,190,20,557,0,0,4,1,3,3,4,8,1,1
0,0,417,173,837,201,20,587,0,2,2,1,2,6,2,11,1,1
0,0,458,173,869,221,20,603,0,2,3,0,0,7,3,12,0,1
0,0,467,173,897,224,20,627,1,0,2,3,0,7,3,6,1,1
0,0,467,173,930,224,20,648,0,1,0,4,5,3,2,7,1,1
0,0,489,173,932,242,20,650,0,0,5,0,2,3,5,5,1,1
0,0,521,173,945,256,20,661,1,0,4,1,2,1,7,9,0,1
0,0,544,173,971,265,20,674,0,1,3,1,5,2,3,7,1,1
0,0,10,7,0,5,0,0,1,0,1,0,0,3,0,1,0,1
0,0,10,7,19,5,0,13,1,0,1,0,0,1,2,1,1,1
0,0,10,22,71,5,1,31,0,1,1,0,2,2,0,2,0,1
